period,lower,upper,base,marginal_rate,effective_from,ato_source,version
weekly,822,822,197,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,823,824,198,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,825,825,198,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,826,827,199,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,828,828,199,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,829,831,200,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,832,832,200,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,833,833,201,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,834,834,201,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,835,836,202,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,837,837,202,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,838,840,203,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,841,841,203,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,842,844,204,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,845,845,204,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,846,846,205,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,847,847,205,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,848,849,206,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,850,850,206,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,851,853,207,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,854,853,207,3.0303030303,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,854,,208,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
